AnguloError,Distancia,Comando
-86.04770253319714,289.7450629249552,3
-87.37211968047328,294.0907797198812,3
-88.29841518253583,294.0419230441497,3
-89.63532404136906,299.7387870977667,3
-90.88934924553718,300.51301825669276,3
-92.40203253310375,308.53134848006795,3
-27.7992986091607,182.5104362124096,3
-27.87337241596518,182.2014484503053,3
-27.96913896687184,183.73328398938355,3
-27.653480619316667,183.50764423246352,3
-26.63407936584953,183.3051628066475,3
-27.955999039994126,182.06680133777513,3
-26.975504013485022,183.48770468110888,3
-28.008041377982778,181.75274929776077,3
-28.323007499440735,182.0679091134533,3
-28.196836328326427,180.80351824887387,3
-28.274678326652293,182.4496617001495,3
-28.889965497438965,180.99326474626616,3
-28.354098640530523,179.79553654310766,3
-28.558268519880585,180.71860603314292,3
-28.842672231447793,181.18751765570562,3
-28.68937141537657,180.09589250933567,3
-28.578120164848272,180.7556023556011,3
-29.324634882452287,180.5866581087357,3
-28.90371615780505,180.83783276666307,3
-28.305624819777577,179.99385818926538,3
-28.513984418805748,178.87403400461213,3
-29.035285647780654,179.99385818926538,3
-29.133750927575036,179.34745623631687,3
-30.509895984402746,181.78259682154805,3
-28.471636078321552,180.7120796681362,3
-28.414351441880882,181.04654598295818,3
-27.498324635791363,182.1445731088764,3
-27.875150296093395,182.1940233963567,3
-28.212398012428125,182.34841693614928,3
-28.445186527987218,181.03516495739788,3
-28.234644530284626,182.33838053103642,3
-28.772310519976344,181.4565953986345,3
-27.598049086903032,179.81343499039397,3
-27.46262548813857,180.503669082216,3
-28.239539608537967,180.26376799553424,3
-27.65499712409013,179.41906845545773,3
-28.75771293573129,181.53577626996596,3
-27.920590846445307,182.04348341408138,3
-28.436455026934325,181.2607032019038,3
-29.069499783220024,181.85064215568985,3
-28.791455039525957,181.37815219870728,3
-27.92019917880674,180.1058465964014,3
-28.854891345745514,180.9710767863846,3
-28.015494531282513,181.6460722559391,3
-28.28217681553319,180.25284017029443,3
-28.486249603243593,179.1341099773098,3
-28.691578116016686,180.0358964730499,3
-28.7458435116106,179.8050405801355,3
-28.283412834579295,178.43347927154767,3
-28.816376536664748,179.5368831745699,3
-27.734678784526054,179.36242942745452,3
-27.734678784526054,179.36242942745452,3
-27.88014465178331,180.48517749413548,3
-28.54816615668514,180.87888603434627,3
-28.270617121311176,180.4088191608664,3
-28.622266245160873,180.57370125210775,3
-27.505556768415417,180.60403713235087,3
-28.72536937992426,180.06543339869808,3
-28.730945970146934,179.88546247904358,3
-28.440780546685744,179.4501523045099,3
-28.297918571739643,180.2956079248209,3
-28.737635487584143,179.84828839427163,3
-27.90483367062008,180.48825515549956,3
-27.61503849348462,182.06603407467088,3
-28.25163705754275,180.4874678471123,3
-28.430262599471718,181.56299348213022,3
-27.65333740186344,179.79192254796416,3
-27.889995397356415,178.44252799946253,3
-28.7091722831196,179.96425966720395,3
-27.983182070834317,181.9540337605468,3
-28.131653312098337,181.0715563407334,3
-27.69531848958239,181.5248944688937,3
-27.983182070834317,181.9540337605468,3
-28.12247252067327,181.1092656290932,3
-27.406049981069472,181.10052953728305,3
-27.69531848958239,181.5248944688937,3
-28.062594096920478,181.5248944688937,3
-28.71770310508913,181.9540337605468,3
-28.067363776785683,181.5248944688937,3
-28.101264925231234,181.46305793601547,3
-27.786013123237993,179.0730040384536,3
-27.80565148521096,180.88227715503885,3
-28.383699182898823,179.77445323224143,3
-27.475895309434378,180.71971043655267,3
-27.54319277616726,180.25169290598245,3
-28.296451866727807,180.2133505829116,3
-27.406049981069472,181.10052953728305,3
-27.406049981069472,181.10052953728305,3
-27.351578888809883,181.3297164283532,3
-27.41512930039019,181.06228975196154,3
-26.645792307103648,184.89027926330675,3
-26.709092105781195,184.62218691022986,3
-26.16800590779043,185.61071505774146,3
-26.582199073269237,185.15905312980337,3
-27.569694190032635,183.55989578521667,3
-26.582199073269237,185.15905312980337,3
-27.0087436352364,184.6741733039422,3
-26.251527969240783,184.9401775397703,3
-27.02928914572196,184.58887045522272,3
-26.135572171451997,185.7499849057882,3
-26.27210582185006,184.85275548353732,3
-26.261841867801436,184.89636786106067,3
-26.359041896979363,186.4172844639006,3
-26.549375756963258,185.29755986903592,3
-26.912002430925767,185.29755986903592,3
-26.125389864234606,185.79367605574257,3
-26.35059636287498,186.69202788656978,3
-26.06232203304222,186.06395860666703,3
-26.475504027957385,185.8375648615898,3
-25.888460966525443,184.8613911618122,3
-27.319692936137017,184.89805572280275,3
-26.70903830226038,186.4612781926318,3
-26.815822867168464,183.77455908324103,3
-26.243771649919623,187.14423125172027,3
-25.743116021488078,185.74053896604272,3
-26.94936116108215,187.04269588349047,3
-26.37807875685253,186.2450760033623,3
-25.974601451839547,186.3518057456436,3
-26.730020251000226,188.20946536548715,3
-25.963800895059578,186.39812663295385,3
-26.443672965462525,185.6621626512569,3
-25.677406575365566,186.0148386728854,3
